iter	Passed	Remaining
1278	31982	20730
1279	32006	20704
1280	32030	20678
1281	32052	20651
1282	32074	20624
1283	32097	20598
1284	32123	20574
1285	32148	20549
1286	32173	20523
1287	32196	20498
1288	32222	20473
1289	32249	20449
1290	32272	20423
1291	32294	20396
1292	32316	20369
1293	32340	20344
1294	32363	20317
1295	32386	20291
1296	32408	20264
1297	32430	20237
1298	32455	20213
1299	32478	20186
1300	32500	20159
1301	32522	20133
1302	32546	20107
1303	32571	20082
1304	32594	20056
1305	32620	20031
1306	32645	20007
1307	32671	19982
1308	32692	19955
1309	32714	19928
1310	32736	19901
1311	32759	19875
1312	32783	19849
1313	32806	19823
1314	32829	19797
1315	32853	19771
1316	32876	19745
1317	32899	19719
1318	32922	19693
1319	32945	19667
1320	32970	19642
1321	32994	19617
1322	33018	19591
1323	33043	19566
1324	33066	19540
1325	33090	19514
1326	33111	19487
1327	33133	19461
1328	33155	19434
1329	33177	19407
1330	33201	19381
1331	33224	19356
1332	33248	19330
1333	33272	19305
1334	33295	19279
1335	33317	19252
1336	33338	19224
1337	33359	19198
1338	33383	19172
1339	33407	19146
1340	33430	19121
1341	33455	19095
1342	33476	19069
1343	33499	19042
1344	33522	19016
1345	33546	18991
1346	33568	18965
1347	33591	18938
1348	33613	18912
1349	33634	18884
1350	33655	18857
1351	33678	18832
1352	33700	18805
1353	33723	18779
1354	33747	18754
1355	33770	18728
1356	33794	18703
1357	33817	18676
1358	33842	18651
1359	33865	18625
1360	33888	18600
1361	33912	18574
1362	33936	18549
1363	33961	18524
1364	33985	18499
1365	34010	18474
1366	34031	18447
1367	34053	18420
1368	34075	18394
1369	34098	18368
1370	34120	18342
1371	34144	18316
1372	34166	18290
1373	34189	18264
1374	34212	18238
1375	34234	18211
1376	34258	18186
1377	34282	18161
1378	34305	18135
1379	34329	18110
1380	34352	18084
1381	34378	18060
1382	34402	18034
1383	34426	18009
1384	34446	17981
1385	34468	17955
1386	34494	17931
1387	34515	17904
1388	34539	17878
1389	34562	17853
1390	34585	17827
1391	34610	17802
1392	34632	17775
1393	34656	17750
1394	34678	17724
1395	34702	17699
1396	34725	17673
1397	34748	17647
1398	34773	17622
1399	34797	17597
1400	34821	17572
1401	34840	17544
1402	34862	17518
1403	34884	17491
1404	34909	17467
1405	34931	17440
1406	34954	17415
1407	34977	17389
1408	35002	17364
1409	35024	17338
1410	35048	17312
1411	35077	17290
1412	35103	17265
1413	35129	17241
1414	35155	17217
1415	35179	17192
1416	35205	17167
1417	35230	17143
1418	35253	17117
1419	35275	17091
1420	35297	17064
1421	35320	17039
1422	35351	17017
1423	35379	16994
1424	35411	16972
1425	35444	16951
1426	35480	16932
1427	35505	16907
1428	35530	16882
1429	35556	16858
1430	35582	16834
1431	35608	16809
1432	35635	16785
1433	35660	16760
1434	35683	16734
1435	35703	16708
1436	35728	16683
1437	35753	16658
1438	35776	16632
1439	35799	16606
1440	35821	16580
1441	35844	16555
1442	35870	16530
1443	35893	16504
1444	35916	16479
1445	35941	16454
1446	35972	16432
1447	36001	16409
1448	36029	16386
1449	36062	16364
1450	36096	16343
1451	36124	16320
1452	36148	16295
1453	36172	16270
1454	36197	16245
1455	36220	16219
1456	36246	16195
1457	36270	16170
1458	36293	16144
1459	36316	16118
1460	36338	16092
1461	36363	16067
1462	36395	16045
1463	36423	16022
1464	36451	15998
1465	36475	15973
1466	36502	15949
1467	36529	15925
1468	36551	15899
1469	36573	15873
1470	36597	15847
1471	36619	15822
1472	36643	15796
1473	36667	15771
1474	36690	15745
1475	36715	15720
1476	36737	15694
1477	36761	15669
1478	36784	15644
1479	36808	15618
1480	36832	15593
1481	36855	15567
1482	36879	15542
1483	36903	15517
1484	36930	15493
1485	36954	15468
1486	36976	15442
1487	36998	15416
1488	37021	15390
1489	37043	15364
1490	37065	15338
1491	37088	15312
1492	37112	15287
1493	37136	15262
1494	37159	15236
1495	37182	15211
1496	37203	15184
1497	37227	15159
1498	37249	15133
1499	37273	15108
1500	37297	15083
1501	37321	15057
1502	37343	15032
1503	37366	15006
1504	37389	14980
1505	37413	14955
1506	37437	14930
1507	37461	14904
1508	37481	14878
1509	37501	14851
1510	37524	14825
1511	37546	14800
1512	37569	14774
1513	37592	14748
1514	37616	14723
1515	37640	14698
1516	37663	14673
1517	37687	14648
1518	37710	14622
1519	37735	14597
1520	37759	14572
1521	37792	14550
1522	37815	14525
1523	37840	14500
1524	37863	14475
1525	37888	14450
1526	37911	14424
1527	37933	14398
1528	37956	14373
1529	37979	14347
1530	38002	14322
1531	38025	14296
1532	38048	14271
1533	38070	14245
1534	38093	14219
1535	38116	14194
1536	38141	14169
1537	38165	14144
1538	38191	14120
1539	38215	14095
1540	38240	14070
1541	38264	14045
1542	38290	14020
1543	38315	13995
1544	38336	13969
1545	38358	13944
1546	38381	13918
1547	38404	13893
1548	38429	13868
1549	38453	13843
1550	38477	13818
1551	38501	13793
1552	38525	13768
1553	38550	13743
1554	38573	13717
1555	38598	13692
1556	38623	13668
1557	38648	13643
1558	38674	13619
1559	38699	13594
1560	38724	13569
1561	38746	13543
1562	38769	13518
1563	38791	13492
1564	38814	13467
1565	38838	13442
1566	38860	13416
1567	38887	13392
1568	38909	13366
1569	38936	13342
1570	38960	13317
1571	38984	13292
1572	39008	13267
1573	39033	13242
1574	39058	13217
1575	39083	13193
1576	39107	13168
1577	39133	13143
1578	39157	13118
1579	39178	13092
1580	39200	13066
1581	39223	13041
1582	39245	13015
1583	39269	12990
1584	39292	12965
1585	39315	12939
1586	39341	12915
1587	39365	12890
1588	39389	12865
1589	39412	12839
1590	39439	12815
1591	39465	12791
1592	39489	12766
1593	39515	12742
1594	39539	12717
1595	39564	12692
1596	39586	12666
1597	39607	12640
1598	39630	12615
1599	39653	12589
1600	39676	12564
1601	39699	12539
1602	39722	12513
1603	39745	12488
1604	39771	12464
1605	39795	12439
1606	39817	12413
1607	39841	12388
1608	39866	12363
1609	39890	12338
1610	39920	12315
1611	39950	12292
1612	39978	12268
1613	40001	12243
1614	40023	12217
1615	40046	12192
1616	40070	12167
1617	40094	12142
1618	40117	12117
1619	40140	12091
1620	40164	12066
1621	40192	12042
1622	40221	12019
1623	40246	11994
1624	40271	11970
1625	40297	11945
1626	40323	11920
1627	40347	11896
1628	40373	11871
1629	40397	11846
1630	40421	11821
1631	40443	11795
1632	40465	11770
1633	40489	11745
1634	40513	11720
1635	40535	11694
1636	40558	11669
1637	40582	11644
1638	40607	11619
1639	40629	11594
1640	40651	11568
1641	40674	11543
1642	40697	11518
